ID,Scenario,Gender,Race,Age,Age_Group,Income,Credit_Score,Loan_Amount,Employment_Type,Education_Level,Citizenship_Status,Language_Proficiency,Disability_Status,Criminal_Record,Zip_Code_Group,Loan_Approved
5928,PASS_Compliant,Male,Hispanic,29,25-60,72918,783,392050,Full-time,Bachelor's,Permanent Resident,Fluent,Yes,No,Urban Professional,Denied
8448,PASS_Compliant,Female,White,21,Under 25,65849,590,315930,Full-time,Bachelor's,Citizen,Fluent,No,Yes,Historically Redlined,Approved
7050,PASS_Compliant,Female,Black,65,Over 60,64886,749,98033,Full-time,Some College,Citizen,Fluent,No,No,Rural,Approved
6121,PASS_Compliant,Male,Black,45,25-60,108828,825,310299,Part-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined,Approved
9323,PASS_Compliant,Male,White,56,25-60,134227,757,198730,Part-time,Some College,Citizen,Fluent,No,No,Working Class Urban,Approved
8067,PASS_Compliant,Male,White,53,25-60,84845,676,120262,Full-time,High School,Citizen,Fluent,Yes,No,Rural,Approved
7746,PASS_Compliant,Female,Black,70,Over 60,89300,617,278750,Part-time,Graduate,Citizen,Fluent,No,No,Urban Professional,Approved
5452,PASS_Compliant,Male,White,47,25-60,26266,532,349484,Full-time,Graduate,Permanent Resident,Fluent,No,Yes,Working Class Urban,Denied
4027,PASS_Compliant,Male,White,51,25-60,158589,780,304224,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Approved
4214,PASS_Compliant,Female,White,28,25-60,98152,615,103854,Part-time,Graduate,Citizen,Fluent,No,No,Historically Redlined,Approved
2190,PASS_Compliant,Female,White,48,25-60,69762,590,186241,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Denied
5197,PASS_Compliant,Male,White,81,Over 60,122587,547,420731,Full-time,Graduate,Citizen,Fluent,Yes,No,Working Class Urban,Approved
6248,PASS_Compliant,Female,White,22,Under 25,118970,549,144409,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban,Denied
5637,PASS_Compliant,Male,White,29,25-60,116984,722,259142,Part-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,Approved
9484,PASS_Compliant,Male,White,37,25-60,164469,793,286257,Full-time,Some College,Visa Holder,Limited,No,No,Historically Redlined,Denied
2664,PASS_Compliant,Female,Black,21,Under 25,80863,619,151858,Gig,High School,Citizen,Fluent,No,No,Working Class Urban,Denied
223,PASS_Compliant,Female,White,57,25-60,125675,625,348392,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,Approved
7535,PASS_Compliant,Female,Black,82,Over 60,166062,812,273294,Full-time,Graduate,Citizen,Limited,No,No,Working Class Urban,Approved
3564,PASS_Compliant,Male,White,72,Over 60,136041,542,331566,Full-time,Some College,Citizen,Limited,No,No,Urban Professional,Denied
3430,PASS_Compliant,Male,White,59,25-60,61260,588,395264,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Denied
3461,PASS_Compliant,Male,White,44,25-60,95239,615,336052,Self-employed,Some College,Citizen,Fluent,No,Yes,Rural,Denied
7861,PASS_Compliant,Male,Hispanic,48,25-60,149114,568,201891,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural,Denied
3178,PASS_Compliant,Male,Hispanic,48,25-60,149562,761,362570,Part-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,Approved
8731,PASS_Compliant,Male,Black,54,25-60,70007,656,425585,Full-time,Graduate,Citizen,Limited,No,No,Urban Professional,Approved
3226,PASS_Compliant,Female,Asian,25,25-60,170020,508,206533,Self-employed,Graduate,Permanent Resident,Fluent,No,No,High-income Suburban,Approved
6009,PASS_Compliant,Female,White,25,25-60,131879,729,362437,Full-time,High School,Permanent Resident,Fluent,No,Yes,Working Class Urban,Denied
4236,PASS_Compliant,Male,White,42,25-60,165624,836,180064,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,Denied
7794,PASS_Compliant,Male,White,76,Over 60,55421,740,325265,Full-time,High School,Citizen,Limited,No,No,Working Class Urban,Approved
3671,PASS_Compliant,Male,White,51,25-60,97845,614,311077,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Urban Professional,Approved
3653,PASS_Compliant,Female,Asian,36,25-60,153821,847,353006,Full-time,Bachelor's,Citizen,Fluent,Yes,No,High-income Suburban,Approved
3721,PASS_Compliant,Male,White,46,25-60,77885,699,281944,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,Approved
3350,PASS_Compliant,Female,White,57,25-60,116162,579,254774,Self-employed,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Denied
1274,PASS_Compliant,Male,White,39,25-60,42215,579,425149,Full-time,High School,Permanent Resident,Fluent,No,No,High-income Suburban,Denied
5338,PASS_Compliant,Female,Black,62,Over 60,48484,848,359025,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,Denied
8692,PASS_Compliant,Female,Hispanic,19,Under 25,96732,734,373719,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Approved
3573,PASS_Compliant,Female,Black,29,25-60,132258,608,81238,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,Approved
5342,PASS_Compliant,Male,White,28,25-60,72663,690,219575,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,Denied
2862,PASS_Compliant,Male,White,67,Over 60,75112,675,324744,Full-time,High School,Citizen,Fluent,No,No,Historically Redlined,Denied
6406,PASS_Compliant,Male,White,31,25-60,137236,548,96470,Unemployed,High School,Citizen,Fluent,No,No,Urban Professional,Denied
6771,PASS_Compliant,Male,Black,78,Over 60,31926,772,216347,Full-time,Some College,Citizen,Fluent,No,Yes,Rural,Denied
3688,PASS_Compliant,Male,White,35,25-60,78989,829,349340,Gig,Some College,Citizen,Fluent,No,No,Working Class Urban,Approved
1457,PASS_Compliant,Non-binary,White,19,Under 25,81339,526,138999,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,Denied
4355,PASS_Compliant,Non-binary,Native American,22,Under 25,58282,801,159005,Self-employed,Graduate,Citizen,Fluent,No,No,High-income Suburban,Approved
8964,PASS_Compliant,Female,White,54,25-60,34006,814,179139,Full-time,High School,Citizen,Fluent,Yes,No,High-income Suburban,Approved
5105,PASS_Compliant,Male,White,63,Over 60,107679,685,92395,Gig,Graduate,Citizen,Fluent,Yes,No,Rural,Approved
2158,PASS_Compliant,Female,Hispanic,76,Over 60,39615,733,409497,Full-time,High School,Citizen,Limited,No,No,Working Class Urban,Approved
8034,PASS_Compliant,Female,White,76,Over 60,151006,666,81853,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,Denied
7908,PASS_Compliant,Male,White,23,Under 25,66504,642,207684,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,Approved
523,PASS_Compliant,Female,White,58,25-60,117020,775,254235,Full-time,Bachelor's,Visa Holder,Fluent,No,No,Urban Professional,Approved
2471,PASS_Compliant,Female,White,45,25-60,147830,664,361307,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Denied
1983,PASS_Compliant,Female,White,19,Under 25,28294,536,361777,Part-time,Bachelor's,Citizen,Fluent,No,No,Rural,Approved
3356,PASS_Compliant,Male,White,79,Over 60,50678,554,264478,Full-time,High School,Citizen,Fluent,Yes,No,Rural,Approved
1927,PASS_Compliant,Female,White,65,Over 60,40918,821,251197,Self-employed,High School,Citizen,Fluent,No,No,Rural,Denied
9028,PASS_Compliant,Female,White,43,25-60,36317,645,319412,Self-employed,High School,Citizen,Fluent,No,No,High-income Suburban,Approved
5846,PASS_Compliant,Male,White,23,Under 25,137811,667,246464,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural,Approved
8075,PASS_Compliant,Non-binary,White,67,Over 60,84758,667,135660,Self-employed,Bachelor's,Permanent Resident,Fluent,No,No,Working Class Urban,Approved
3717,PASS_Compliant,Male,Hispanic,22,Under 25,30509,544,333136,Full-time,Bachelor's,Citizen,Fluent,No,Yes,Rural,Approved
7159,PASS_Compliant,Female,White,60,25-60,149497,625,201984,Full-time,Graduate,Citizen,Limited,Yes,No,Historically Redlined,Denied
1386,PASS_Compliant,Female,Hispanic,65,Over 60,77474,527,199464,Gig,Some College,Citizen,Fluent,Yes,No,Rural,Denied
7297,PASS_Compliant,Male,White,70,Over 60,32106,538,371457,Full-time,Bachelor's,Permanent Resident,Limited,No,Yes,Historically Redlined,Denied
1332,PASS_Compliant,Female,White,53,25-60,86745,566,370813,Full-time,High School,Citizen,Fluent,No,Yes,High-income Suburban,Denied
9420,PASS_Compliant,Female,Black,31,25-60,58358,532,71250,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,Denied
6137,PASS_Compliant,Female,Black,82,Over 60,154740,618,200742,Full-time,Graduate,Visa Holder,Limited,No,No,Historically Redlined,Approved
222,PASS_Compliant,Female,White,80,Over 60,59992,688,136764,Full-time,High School,Citizen,Limited,No,No,Rural,Denied
2865,PASS_Compliant,Male,Black,60,25-60,138745,671,242340,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined,Approved
939,PASS_Compliant,Female,Hispanic,41,25-60,59921,816,75496,Gig,High School,Citizen,Fluent,No,No,Working Class Urban,Denied
1374,PASS_Compliant,Male,Hispanic,42,25-60,150050,587,176445,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban,Denied
4021,PASS_Compliant,Male,Black,46,25-60,130831,771,238775,Self-employed,Some College,Citizen,Fluent,No,No,Rural,Approved
2248,PASS_Compliant,Female,Hispanic,71,Over 60,159334,681,330954,Self-employed,Some College,Permanent Resident,Fluent,Yes,No,Historically Redlined,Approved
3294,PASS_Compliant,Male,White,49,25-60,157581,536,167083,Full-time,High School,Visa Holder,Fluent,No,No,Urban Professional,Approved
5762,PASS_Compliant,Female,Asian,62,Over 60,104545,611,356300,Part-time,Graduate,Citizen,Fluent,No,No,Rural,Approved
8345,PASS_Compliant,Male,White,82,Over 60,158238,709,295471,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Working Class Urban,Denied
9851,PASS_Compliant,Male,White,20,Under 25,112420,619,261718,Full-time,High School,Citizen,Limited,Yes,No,Working Class Urban,Denied
4618,PASS_Compliant,Female,Black,19,Under 25,78729,833,255637,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Working Class Urban,Approved
3444,PASS_Compliant,Female,Black,58,25-60,93512,848,263183,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,Approved
9495,PASS_Compliant,Male,White,21,Under 25,75662,640,384138,Full-time,Some College,Citizen,Limited,No,No,Working Class Urban,Approved
5185,PASS_Compliant,Female,Black,22,Under 25,108567,676,449370,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Approved
5738,PASS_Compliant,Female,White,48,25-60,28393,836,121050,Full-time,Bachelor's,Permanent Resident,Limited,No,No,Working Class Urban,Approved
1748,PASS_Compliant,Male,Hispanic,65,Over 60,66800,580,443727,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban,Approved
6117,PASS_Compliant,Male,White,23,Under 25,58469,746,425426,Full-time,High School,Citizen,Limited,No,No,Urban Professional,Denied
7619,PASS_Compliant,Male,White,32,25-60,97662,621,78932,Unemployed,High School,Citizen,Fluent,No,No,Working Class Urban,Approved
9334,PASS_Compliant,Female,Hispanic,41,25-60,27933,700,185252,Part-time,Graduate,Citizen,Fluent,No,No,Urban Professional,Approved
3485,PASS_Compliant,Female,White,51,25-60,126394,773,404907,Part-time,Graduate,Citizen,Fluent,Yes,No,Urban Professional,Denied
8976,PASS_Compliant,Male,White,80,Over 60,128561,657,204255,Gig,High School,Citizen,Fluent,No,No,Rural,Approved
6369,PASS_Compliant,Male,White,59,25-60,158155,735,446140,Part-time,Some College,Citizen,Fluent,No,No,High-income Suburban,Denied
5719,PASS_Compliant,Male,Hispanic,27,25-60,65527,600,327543,Full-time,Some College,Citizen,Fluent,Yes,No,Historically Redlined,Denied
3000,PASS_Compliant,Male,Multiracial,40,25-60,93087,729,410234,Full-time,Bachelor's,Citizen,Limited,Yes,No,High-income Suburban,Approved
1080,PASS_Compliant,Female,Black,36,25-60,86437,755,305062,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,Approved
677,PASS_Compliant,Male,Hispanic,43,25-60,43280,514,147557,Full-time,Some College,Citizen,Limited,No,No,Working Class Urban,Approved
7598,PASS_Compliant,Male,White,47,25-60,46458,741,217377,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Working Class Urban,Approved
1354,PASS_Compliant,Male,White,56,25-60,169720,684,352743,Full-time,High School,Citizen,Fluent,No,No,Historically Redlined,Approved
1565,PASS_Compliant,Male,Asian,53,25-60,173826,784,68952,Part-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,Denied
4348,PASS_Compliant,Female,White,77,Over 60,129787,839,204674,Part-time,Bachelor's,Citizen,Limited,No,No,Rural,Approved
340,PASS_Compliant,Female,Asian,36,25-60,122083,759,307748,Self-employed,Bachelor's,Citizen,Fluent,Yes,No,Historically Redlined,Approved
7301,PASS_Compliant,Male,Hispanic,57,25-60,146642,677,263533,Part-time,Some College,Citizen,Fluent,No,No,Working Class Urban,Approved
383,PASS_Compliant,Male,Hispanic,30,25-60,46871,699,94029,Full-time,Some College,Citizen,Fluent,No,No,Rural,Denied
6750,PASS_Compliant,Male,White,61,Over 60,76883,704,279350,Full-time,Graduate,Citizen,Fluent,No,No,Historically Redlined,Approved
6255,PASS_Compliant,Male,White,45,25-60,127539,592,313278,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,Approved
8262,PASS_Compliant,Female,White,20,Under 25,171168,765,374914,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined,Approved
4707,PASS_Compliant,Male,Multiracial,71,Over 60,158486,764,337256,Full-time,High School,Citizen,Fluent,No,No,Rural,Denied
8227,PASS_Compliant,Female,White,62,Over 60,174916,528,312892,Part-time,Some College,Citizen,Fluent,No,No,High-income Suburban,Approved
7000,PASS_Compliant,Female,Asian,57,25-60,137332,559,177494,Full-time,High School,Visa Holder,Fluent,No,No,High-income Suburban,Denied
8520,PASS_Compliant,Female,Hispanic,23,Under 25,41077,604,327032,Full-time,High School,Permanent Resident,Fluent,No,No,Rural,Denied
9975,PASS_Compliant,Female,Black,41,25-60,139637,571,337347,Part-time,High School,Citizen,Fluent,No,Yes,Working Class Urban,Approved
2357,PASS_Compliant,Female,Asian,24,Under 25,96344,731,81434,Full-time,Graduate,Citizen,Fluent,Yes,No,Historically Redlined,Denied
4509,PASS_Compliant,Male,Multiracial,24,Under 25,101930,837,80464,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,Approved
3622,PASS_Compliant,Female,Hispanic,56,25-60,173259,772,278923,Full-time,Some College,Citizen,Fluent,No,No,Historically Redlined,Denied
1981,PASS_Compliant,Female,White,78,Over 60,58352,602,403755,Self-employed,Graduate,Permanent Resident,Fluent,No,Yes,High-income Suburban,Denied
9393,PASS_Compliant,Female,White,34,25-60,74494,774,167246,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural,Denied
8880,PASS_Compliant,Male,White,62,Over 60,36670,660,176828,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional,Approved
5511,PASS_Compliant,Male,Black,29,25-60,133651,828,205932,Gig,High School,Citizen,Fluent,No,No,Rural,Denied
6409,PASS_Compliant,Non-binary,White,60,25-60,74262,500,449792,Self-employed,Graduate,Citizen,Fluent,No,No,Historically Redlined,Approved
2518,PASS_Compliant,Female,Hispanic,33,25-60,25965,713,235943,Full-time,High School,Citizen,Limited,No,No,Working Class Urban,Approved
9796,PASS_Compliant,Male,White,68,Over 60,88736,800,248616,Full-time,Some College,Permanent Resident,Fluent,No,No,Working Class Urban,Approved
3192,PASS_Compliant,Female,White,30,25-60,82661,735,52740,Full-time,Some College,Citizen,Limited,No,No,High-income Suburban,Denied
9741,PASS_Compliant,Female,White,19,Under 25,127981,752,440589,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,Denied
7937,PASS_Compliant,Female,White,31,25-60,128219,530,146263,Gig,High School,Visa Holder,Fluent,No,No,Urban Professional,Approved
9983,PASS_Compliant,Female,White,57,25-60,132487,658,348776,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural,Approved
2916,PASS_Compliant,Female,White,21,Under 25,79236,628,71184,Full-time,Bachelor's,Visa Holder,Fluent,No,No,Urban Professional,Approved
6777,PASS_Compliant,Female,White,34,25-60,90563,659,78827,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,Denied
6948,PASS_Compliant,Female,Asian,38,25-60,70691,765,170905,Full-time,Bachelor's,Citizen,Limited,No,No,High-income Suburban,Approved
1942,PASS_Compliant,Female,White,58,25-60,124421,549,215977,Part-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,Denied
5668,PASS_Compliant,Female,White,42,25-60,52435,567,97386,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,Approved
2097,PASS_Compliant,Male,White,74,Over 60,90154,581,410589,Unemployed,High School,Citizen,Fluent,No,No,Urban Professional,Denied
2375,PASS_Compliant,Male,White,81,Over 60,116581,709,333883,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Approved
7489,PASS_Compliant,Female,Black,64,Over 60,76666,550,312914,Part-time,Some College,Visa Holder,Fluent,No,No,Historically Redlined,Approved
899,PASS_Compliant,Female,Hispanic,29,25-60,89420,678,190962,Self-employed,High School,Citizen,Fluent,No,No,Historically Redlined,Approved
7151,PASS_Compliant,Male,White,77,Over 60,30124,697,106136,Full-time,High School,Citizen,Fluent,Yes,No,Working Class Urban,Denied
834,PASS_Compliant,Female,White,82,Over 60,156110,737,401931,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Denied
6368,PASS_Compliant,Female,White,23,Under 25,77548,636,50922,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,Approved
7559,PASS_Compliant,Female,White,62,Over 60,142818,772,445270,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Denied
9866,PASS_Compliant,Female,White,61,Over 60,100426,579,414427,Self-employed,Some College,Citizen,Limited,No,No,Working Class Urban,Denied
8374,PASS_Compliant,Female,Black,74,Over 60,77612,721,172625,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,Denied
5011,PASS_Compliant,Female,White,74,Over 60,58875,559,242448,Full-time,High School,Permanent Resident,Fluent,No,No,Rural,Denied
9207,PASS_Compliant,Female,White,29,25-60,110508,621,368798,Full-time,Bachelor's,Citizen,Limited,No,No,Historically Redlined,Approved
6486,PASS_Compliant,Female,White,73,Over 60,136649,525,373544,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,Approved
6191,PASS_Compliant,Male,Hispanic,77,Over 60,114718,762,233609,Part-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Denied
800,PASS_Compliant,Female,White,58,25-60,132521,818,344114,Full-time,High School,Citizen,Fluent,No,No,Historically Redlined,Denied
1435,PASS_Compliant,Male,White,50,25-60,47770,798,315507,Part-time,High School,Citizen,Fluent,No,No,Rural,Denied
75,PASS_Compliant,Female,White,56,25-60,93929,575,165907,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban,Approved
8954,PASS_Compliant,Female,White,64,Over 60,115148,572,175264,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional,Approved
5229,PASS_Compliant,Male,White,40,25-60,161620,637,204899,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional,Denied
889,PASS_Compliant,Female,White,74,Over 60,60889,541,131922,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Denied
5843,PASS_Compliant,Male,White,35,25-60,105065,506,111312,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,Denied
2321,PASS_Compliant,Female,White,79,Over 60,122761,796,214285,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,Denied
4768,PASS_Compliant,Female,Hispanic,74,Over 60,27763,761,304716,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,Denied
5256,PASS_Compliant,Non-binary,White,18,Under 25,119330,606,287218,Gig,Some College,Citizen,Limited,No,No,Working Class Urban,Approved
